time;rsrp;pl;cfo;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached
119;-49;49;-6702.500488;4.5;30;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
120;-49;49;-6700.733887;4.5;30;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
121;-49;49;-6700.083984;4.5;30;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
122;-49;49;-6699.541016;4.5;30;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
123;-49;49;-6697.366699;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
124;-49;49;-6692.967773;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
125;-49;49;-6688.234863;4.5;30;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
126;-49;49;-6685.318359;4.5;30;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
127;-48;48;-6679.176270;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
128;-50;50;-6681.315430;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
129;-48;48;-6675.025391;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
130;-48;48;-6670.160156;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
131;-50;50;-6662.074707;4.5;28;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
132;-47;47;-6675.594727;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
133;-51;51;-6674.292480;4.5;28;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
134;-48;48;-6685.072754;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
135;-48;48;-6687.054688;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
136;-48;48;-6688.967285;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
137;-50;50;-6681.443848;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
138;-48;48;-6689.050781;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
139;-49;49;-6679.410156;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
140;-48;48;-6683.683594;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
